Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00014047,-0.00088602,0.074729,0,0,0,23.629,0.054484,4.6017E-05,-0.0004046,0.12489,1.0974E-06,0.12873,0,0,0,0,0,0,package://bruce/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_FL_Hip,0.071488,-0.01672,-4.7324E-05,0,0,0,2.9,0.00042335,7.1318E-06,-5.3717E-08,0.0010234,5.5207E-08,0.00063315,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Hip.STL,,FL_HipY-1,Crd_FL_Hip,A_FL_Hip,Joint_FL_Hip,revolute,0.2635,0.0975,0.088,0,0,0,base_link,1,0,0,200,1,-0.78,0.78,,,,,,,,
Link_FL_Thigh,-0.044216,0.098313,-0.056091,0,0,0,5.58,0.013192,-3.7942E-05,0.0085143,0.022095,4.7614E-06,0.0093309,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Thigh.STL,,FL_Thigh-1,Crd_FL_Thigh,A_FL_Thigh,Joint_FL_Thigh,revolute,0.07725,0.01475,0,0,0,0,Link_FL_Hip,0,1,0,200,1,-1.22,2.61,,,,,,,,
Link_FL_Calf,0.00831504007924233,2.04280116085087E-05,-0.149346339600864,0,0,0,1.0558984918551,0.0158759027698112,-1.12826056122136E-07,-0.000666532426552572,0.0161104978528813,-3.38114996104678E-06,0.000461995654151211,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Calf.STL,,FL_Knee-1,Crd_FL_Calf,A_FL_Calf,Joint_FL_Calf,revolute,-0.17662,0.11925,-0.27282,0,-0.82073,0,Link_FL_Thigh,0,1,0,200,1,-1.3,0.52,,,,,,,,
Link_FL_Foot,2.03976966761665E-07,-3.49370387453529E-06,-0.0232846790067169,0,0,0,0.207210160440462,8.28679461308315E-05,-9.61861016200342E-10,-2.44760136441819E-10,0.000134761885893141,-1.45434477714823E-08,0.000154364742055223,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bruce/meshes/Link_FL_Foot.STL,,FL_Foot-1,Crd_FL_Foot,,Joint_FL_Foot,fixed,-0.0052369,-3.0756E-05,-0.33328,0,0.82073,0,Link_FL_Calf,0,0,0,,,,,,,,,,,,
Link_FR_Hip,0.071488,0.01672,4.7324E-05,0,0,0,2.9,0.00042335,-7.1318E-06,5.3717E-08,0.0010234,5.5207E-08,0.00063315,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Hip.STL,,FR_HipY-1,Crd_FR_Hip,A_FR_Hip,Joint_FR_Hip,revolute,0.2635,-0.0975,0.088,0,0,0,base_link,1,0,0,200,1,-0.78,0.78,,,,,,,,
Link_FR_Thigh,-0.044283,-0.09836,-0.056051,0,0,0,5.58,0.013228,2.355E-05,0.0085092,0.022116,5.2111E-06,0.0093162,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Thigh.STL,,FR_Thigh-1,Crd_FR_Thigh,A_FR_Thigh,Joint_FR_Thigh,revolute,0.07725,-0.01475,0,0,0,0,Link_FR_Hip,0,1,0,200,1,-1.22,2.61,,,,,,,,
Link_FR_Calf,0.00831504035394826,2.04277784137952E-05,-0.149346341163595,0,0,0,1.05589847316517,0.0158759025959391,-1.12821989682437E-07,-0.000666532397024257,0.016110497677588,-3.38117456450316E-06,0.000461995644802376,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Calf.STL,,FR_Knee-1,Crd_FR_Calf,A_FR_Calf,Joint_FR_Calf,revolute,-0.17662,-0.11925,-0.27282,0,-0.82073,0,Link_FR_Thigh,0,1,0,200,1,-1.3,0.52,,,,,,,,
Link_FR_Foot,2.03977359281016E-07,-3.4937011642866E-06,-0.0232845615214562,0,0,0,0.207210160452942,8.28679461315494E-05,-9.61863534291446E-10,-2.44760199716181E-10,0.000134761885892514,-1.45434485426757E-08,0.000154364742055096,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bruce/meshes/Link_FR_Foot.STL,,FR_Foot-1,Crd_FR_Foot,,Joint_FR_Foot,fixed,-0.0052369,-3.0756E-05,-0.33328,0,0.82073,0,Link_FR_Calf,0,0,0,,,,,,,,,,,,
Link_HL_Hip,-0.071488,-0.01672,4.7324E-05,0,0,0,2.9,0.00042335,-7.1318E-06,-5.3717E-08,0.0010234,-5.5207E-08,0.00063315,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Hip.STL,,HL_HipY-1,Crd_HL_Hip,A_HL_Hip,Joint_HL_Hip,revolute,-0.2635,0.0975,0.088,0,0,0,base_link,1,0,0,200,1,-0.78,0.78,,,,,,,,
Link_HL_Thigh,-0.044216,0.098313,-0.056091,0,0,0,5.58,0.013192,-3.7942E-05,0.0085143,0.022095,4.7614E-06,0.0093309,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Thigh.STL,,HL_Thigh-1,Crd_HL_Thigh,A_HL_Thigh,Joint_HL_Thigh,revolute,-0.07725,0.01475,0,0,0,0,Link_HL_Hip,0,1,0,200,1,-1.22,2.61,,,,,,,,
Link_HL_Calf,0.00831504038311021,2.04282154486757E-05,-0.14934634134056,0,0,0,1.05589847179624,0.0158759025719917,-1.1283011530811E-07,-0.000666532392742764,0.0161104976518646,-3.38112702745972E-06,0.000461995645412917,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Calf.STL,,HL_Knee-1,Crd_HL_Calf,A_HL_Calf,Joint_HL_Calf,revolute,-0.17662,0.11925,-0.27282,0,-0.82073,0,Link_HL_Thigh,0,1,0,200,1,-1.3,0.52,,,,,,,,
Link_HL_Foot,2.03976984913812E-07,-3.49370198221566E-06,-0.0232846790072918,0,0,0,0.207210160452256,8.28679461309755E-05,-9.61863856201169E-10,-2.44759867046544E-10,0.000134761885893068,-1.45434476926484E-08,0.000154364742053954,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bruce/meshes/Link_HL_Foot.STL,,HL_Foot-1,Crd_HL_Foot,,Joint_HL_Foot,fixed,-0.0052369,-3.0756E-05,-0.33328,0,0.82073,0,Link_HL_Calf,0,0,0,,,,,,,,,,,,
Link_HR_Hip,-0.071488,0.01672,-4.7324E-05,0,0,0,2.9,0.00042335,7.1318E-06,5.3717E-08,0.0010234,-5.5207E-08,0.00063315,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Hip.STL,,HR_HipY-1,Crd_HR_Hip,A_HR_Hip,Joint_HR_Hip,revolute,-0.2635,-0.0975,0.088,0,0,0,base_link,1,0,0,200,1,-0.78,0.78,,,,,,,,
Link_HR_Thigh,-0.044283,-0.09836,-0.056051,0,0,0,5.58,0.013228,2.355E-05,0.0085092,0.022116,5.2111E-06,0.0093162,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Thigh.STL,,HR_Thigh-1,Crd_HR_Thigh,A_HR_Thigh,Joint_HR_Thigh,revolute,-0.07725,-0.01475,0,0,0,0,Link_HR_Hip,0,1,0,200,1,-1.22,2.61,,,,,,,,
Link_HR_Calf,0.008315,2.0428E-05,-0.14935,0,0,0,1.0559,0.015876,-1.1283E-07,-0.00066653,0.01611,-3.3812E-06,0.000462,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Calf.STL,,HR_Knee-1,Crd_HR_Calf,A_HR_Calf,Joint_HR_Calf,revolute,-0.17662,-0.11925,-0.27282,0,-0.82073,0,Link_HR_Thigh,0,1,0,200,1,-1.3,0.52,,,,,,,,
Link_HR_Foot,2.0398E-07,-3.4937E-06,-0.023285,0,0,0,0.20721,8.2868E-05,-9.6187E-10,-2.4476E-10,0.00013476,-1.4543E-08,0.00015436,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bruce/meshes/Link_HR_Foot.STL,,HR_Foot-1,Crd_HR_Foot,,Joint_HR_Foot,fixed,-0.0052369,-3.0756E-05,-0.33328,0,0.82073,0,Link_HR_Calf,0,0,0,200,1,0,3.14,,,,,,,,
